wind_speed,wdir,smois,fuels,ignition,safe_unsafe_ignition_pattern,safe_unsafe_fire_behavior,does_fire_meet_objectives,rationale_if_unsafe,burned_area,FILE
5,180,0.1,ST5_FF_DUET,ST5_ignite_strip.dat,safe,safe,yes,,158589,https://wifire-data.sdsc.edu/data//burnpro3d/d/99/5e/run_995e4a17-c59e-4296-8d00-8cf728bef29e/png/run_995e4a17-c59e-4296-8d00-8cf728bef29e_fuels-dens_2100_000.png
2,255,0.1,ST5_FF_DUET,ST5_ignite_ring.dat,safe,safe,yes,,156458,https://wifire-data.sdsc.edu/data//burnpro3d/d/28/0a/run_280a5d1b-6a62-4bb3-a5c0-aeb88f6ec185/png/run_280a5d1b-6a62-4bb3-a5c0-aeb88f6ec185_fuels-dens_2100_000.png
3,240,0.1,ST5_FF_DUET,ST5_ignite_strip.dat,safe,safe,yes,,119960,https://wifire-data.sdsc.edu/data//burnpro3d/d/13/14/run_131421cc-65e9-4706-b77a-8ddc588e0d21/png/run_131421cc-65e9-4706-b77a-8ddc588e0d21_fuels-dens_2100_000.png
3,255,0.1,ST5_FF_DUET,ST5_ignite_contour.dat,safe,safe,yes,,30119,https://wifire-data.sdsc.edu/data//burnpro3d/d/c8/fb/run_c8fb33a3-a1fb-4674-ad3e-6146f990478e/png/run_c8fb33a3-a1fb-4674-ad3e-6146f990478e_fuels-dens_2100_000.png
2,180,0.1,ST5_FF_DUET,ST5_ignite_ring.dat,safe,safe,yes,,183917,https://wifire-data.sdsc.edu/data//burnpro3d/d/dc/fd/run_dcfda2e3-cf63-47cc-b73d-1aec15b8bdf0/png/run_dcfda2e3-cf63-47cc-b73d-1aec15b8bdf0_fuels-dens_2100_000.png
2,180,0.1,ST5_FF_DUET,ST5_ignite_contour.dat,safe,safe,yes,,170074,https://wifire-data.sdsc.edu/data//burnpro3d/d/ff/61/run_ff610d15-af45-470a-a8a7-25f3d8a788e8/png/run_ff610d15-af45-470a-a8a7-25f3d8a788e8_fuels-dens_2100_000.png
2,255,0.1,ST5_FFDUET_TLS,ST5_ignite_strip.dat,safe,safe,yes,,24096,https://wifire-data.sdsc.edu/data//burnpro3d/d/1c/3e/run_1c3eaea3-aae6-48eb-a2c0-42798fc798b5/png/run_1c3eaea3-aae6-48eb-a2c0-42798fc798b5_fuels-dens_2100_000.png
2,240,0.1,ST5_FFDUET_TLS,ST5_ignite_strip.dat,safe,safe,yes,,142847,https://wifire-data.sdsc.edu/data//burnpro3d/d/1a/9e/run_1a9e521f-4152-4b22-829b-ca4fb7108e04/png/run_1a9e521f-4152-4b22-829b-ca4fb7108e04_fuels-dens_2100_000.png
5,195,0.1,ST5_FF_DUET,ST5_ignite_contour.dat,safe,safe,yes,,137936,https://wifire-data.sdsc.edu/data//burnpro3d/d/72/2f/run_722f51e4-daca-4764-a10b-f2a9f091fdca/png/run_722f51e4-daca-4764-a10b-f2a9f091fdca_fuels-dens_2100_000.png
2,225,0.1,ST5_FFDUET_TLS,ST5_ignite_strip.dat,safe,safe,yes,,131262,https://wifire-data.sdsc.edu/data//burnpro3d/d/f7/ad/run_f7adc337-6fdb-4799-bef6-56c9a865635c/png/run_f7adc337-6fdb-4799-bef6-56c9a865635c_fuels-dens_2100_000.png
